Date,Open,High,Low,Close,Volume,Adj Close,Year,Quarter
12/3/2012,42.32,44.549999,41.400002,43.369999,1319100,43.369999,2012,
11/1/2012,42.150002,48.669998,40.189999,41.939999,2539400,41.939999,2012,
10/1/2012,47.75,48.869999,41.669998,42.02,1690700,42.02,2012,Q3
9/4/2012,44.560001,54.860001,43.860001,47.380001,2348500,47.380001,2012,
8/1/2012,40.700001,45.689999,38.41,44.52,1426000,44.52,2012,
7/2/2012,40.970001,43.91,38.290001,40.400002,2197200,40.400002,2012,Q2
6/1/2012,42.029999,44.099998,35.68,41.119999,2481800,41.119999,2012,
5/1/2012,57.290001,58.330002,41.860001,43.209999,2014900,43.209999,2012,
4/2/2012,54.189999,57.43,50.400002,57.200001,1698600,57.200001,2012,Q1
3/1/2012,59.049999,60.650002,52.860001,54.299999,1803600,54.299999,2012,
2/1/2012,50.310001,63.970001,48.66,58.639999,2943600,58.639999,2012,
1/3/2012,47.98,53.009998,46.549999,50.09,2359500,50.09,2011,Q4
12/1/2011,46.68,50.560001,42.919998,46.689999,1959400,46.689999,2011,
11/1/2011,44.09,52.380001,41.169998,46.509998,2528800,46.509998,2011,
10/3/2011,34.709999,50.939999,28.870001,46.549999,3470800,46.549999,2011,Q3
9/1/2011,47.240002,47.529999,34.650002,35.080002,2459700,35.080002,2011,
8/1/2011,59.490002,59.77,40.919998,47.110001,2929300,47.110001,2011,
7/1/2011,56.650002,63.310001,53.169998,58.599998,2928900,58.599998,2011,Q2
6/1/2011,67,67.43,52.080002,56.91,2831000,56.91,2011,
5/2/2011,69.68,69.699997,60.84,67.099998,3024600,67.099998,2011,
4/1/2011,74.220001,75.400002,66.019997,69.5,2116400,69.5,2011,Q1
3/1/2011,65.699997,75.910004,60.43,73.449997,1959000,73.449997,2011,
2/1/2011,127.5,129.869995,62.200001,65.339996,2252800,65.339996,2011,
1/3/2011,118.209999,127.209999,110.519997,126.279999,2159000,63.139999,2010,Q4
12/1/2010,111.839996,118.800003,110.330002,117.190002,1246800,58.595001,2010,
11/1/2010,101.019997,112.349998,99.150002,110.050003,1704800,55.025002,2010,
10/1/2010,96.940002,106.760002,95.900002,100.440002,1824100,50.220001,2010,Q3
9/1/2010,85.919998,98.269997,85.830002,95.510002,2429200,47.755001,2010,
8/2/2010,90,93.589996,81.889999,84.839996,2317900,42.419998,2010,
7/1/2010,77.669998,89.150002,73.629997,88.010002,3037500,44.005001,2010,Q2
6/1/2010,82.959999,92.959999,77.93,78.419998,2384700,39.209999,2010,
5/3/2010,90.919998,93.220001,71.220001,83.709999,3606600,41.855,2010,
4/1/2010,81.989998,92.050003,81.059998,90.330002,1876900,45.165001,2010,Q1
3/1/2010,75.080002,81.760002,74.919998,80.839996,1720500,40.419998,2010,
2/1/2010,66.910004,75.059998,62.66,74.849998,1913700,37.424999,2010,
1/4/2010,72.260002,77.68,65.830002,66.559998,1861000,33.279999,2009,Q4
12/1/2009,63.720001,75.650002,62.25,71.449997,2065900,35.724998,2009,
11/2/2009,57,64.879997,55.09,62.25,2140900,31.125,2009,
10/1/2009,57.68,65.050003,52.669998,56.400002,1895700,28.200001,2009,Q3
9/1/2009,48.599998,59.41,46.419998,57.580002,2349200,28.790001,2009,
8/3/2009,46.889999,50.869999,45.52,48.540001,2155600,24.27,2009,
7/1/2009,36.189999,46.349998,29.77,45.959999,2915700,22.98,2009,Q2
6/1/2009,47.43,49.939999,31.92,35.16,3616000,17.58,2009,
5/1/2009,32.790001,48.32,32.580002,46.860001,3145800,23.43,2009,
4/1/2009,24.950001,35.259998,24.540001,32.759998,2719800,16.379999,2009,Q1
3/2/2009,21.889999,29.74,19.26,25.85,3673100,12.925,2009,
2/2/2009,28.799999,32.98,20.440001,23.299999,5226200,11.65,2009,
1/2/2009,34,44.990002,28.719999,29,5262600,14.5,2008,Q4
12/1/2008,36.189999,41.490002,24.360001,33.459999,2491100,16.73,2008,
11/3/2008,51.91,55.07,26.25,38.299999,2686300,19.15,2008,
10/1/2008,69.389999,69.580002,31.16,51.990002,3862500,25.995001,2008,Q3
9/2/2008,93.970001,93.970001,62.09,71.260002,2773600,35.630001,2008,
8/1/2008,93.699997,99.260002,78.800003,96.239998,1760200,48.119999,2008,
7/1/2008,106.059998,112.419998,80.300003,93.669998,2752700,46.834999,2008,Q2
6/2/2008,93.080002,108.529999,93.010002,106.080002,2446900,53.040001,2008,
5/1/2008,76.279999,97.239998,73.489998,93.529999,2125400,46.764999,2008,
4/1/2008,64.519997,79.849998,63.07,76.519997,1485200,38.259998,2008,Q1
3/3/2008,61.5,66.190002,56.470001,64.650002,1481400,32.325001,2008,
2/1/2008,53.84,63.59,50.889999,61.220001,1154300,30.610001,2008,
1/2/2008,57.459999,59.610001,44.599998,53.790001,1644700,26.895,2007,Q4
12/3/2007,52.07,58.57,51.389999,57.66,896800,28.83,2007,
11/1/2007,53.099998,59.060001,49.619999,52.720001,1238500,26.360001,2007,
10/1/2007,44.450001,54.060001,44.09,54.060001,1070200,27.030001,2007,Q3
9/4/2007,36.84,45.139999,36.84,44.450001,792700,22.225,2007,
8/1/2007,40.34,41.610001,35.849998,37.16,964900,18.58,2007,
7/2/2007,40.599998,44.189999,39.07,41.07,1657300,20.535,2007,Q2
6/1/2007,44.860001,46.950001,40.419998,40.52,1474400,20.26,2007,
5/1/2007,44.009998,45.75,41.57,44.349998,827900,22.174999,2007,
4/2/2007,39.41,47.5,38.709999,44.02,1096800,22.01,2007,Q1
3/1/2007,38.099998,40.349998,35.810001,39.41,1107400,19.705,2007,
2/1/2007,45.52,46.02,38.52,38.709999,1103800,19.355,2007,
1/3/2007,46,46.040001,41.169998,45.57,915700,22.785,2006,Q4
12/1/2006,47.650002,50.299999,45.98,46.599998,446600,23.299999,2006,
11/1/2006,44.610001,48.66,42.130001,48,575600,24,2006,
10/2/2006,40.09,45.25,35.810001,44.610001,802000,22.305,2006,Q3
9/1/2006,45.07,46.950001,37.299999,40.099998,1243000,20.049999,2006,
8/1/2006,46.779999,47.299999,42.349998,45,965700,22.5,2006,
7/3/2006,41.93,48.099998,39.799999,46.700001,1120000,23.35,2006,Q2
6/1/2006,37.849998,42.380001,33.700001,41.869999,1139000,20.934999,2006,
5/1/2006,42.650002,44.529999,35.389999,37.849998,1062000,18.924999,2006,
4/3/2006,41.220001,46.950001,40.48,42.25,914500,21.125,2006,Q1
3/1/2006,40.900002,42.759998,37.41,40.990002,1115900,20.495001,2006,
2/1/2006,46.5,47.25,39.189999,40.599998,1612100,20.299999,2006,
1/3/2006,40.400002,46.59,40,46.299999,907500,23.15,2005,Q4
12/1/2005,41.68,44.91,38.950001,40,613800,20,2005,
11/1/2005,40.650002,44.040001,39.849998,41.450001,665300,20.725,2005,
10/3/2005,43.900002,44.380001,36.77,40.549999,1323800,20.275,2005,Q3
9/1/2005,43.57,46.169998,42.139999,43.84,1160400,21.92,2005,
8/1/2005,40.049999,44.049999,38.82,43.32,531400,21.66,2005,
7/1/2005,36.41,40.900002,36.389999,39.950001,530800,19.975,2005,Q2
6/1/2005,34.68,39.119999,34.529999,36.310001,789400,18.155001,2005,
5/2/2005,30.049999,34.619999,28.190001,34.580002,883300,17.290001,2005,
4/1/2005,41.950001,43.200001,30,30.27,1085000,15.135,2005,Q1
3/1/2005,42,46.299999,38.599998,40.779999,745500,20.389999,2005,
2/1/2005,34.919998,43.799999,34.77,42.299999,544400,21.15,2005,
1/3/2005,30.26,34.93,27.76,34.919998,698600,17.459999,2004,Q4
12/1/2004,34.040001,34.040001,28.799999,30.25,554500,15.125,2004,
11/1/2004,29.76,34.150002,27.52,34.040001,1069100,17.02,2004,
10/1/2004,30.299999,34.220001,29,29.68,431700,14.84,2004,Q3
9/1/2004,23.65,31.200001,23.65,30.4,346200,15.2,2004,
8/2/2004,24.049999,24.58,21.85,23.610001,277800,11.805,2004,
7/1/2004,25.15,26.4,22.809999,23.68,346200,11.84,2004,Q2
6/1/2004,23.6,26.940001,23.6,25.15,289800,12.575,2004,
5/3/2004,25.35,27.25,21.5,23.450001,289100,11.725,2004,
4/1/2004,24,27.59,23.26,25.35,318200,12.675,2004,Q1
3/1/2004,20.9,23.940001,20.709999,23.59,402500,11.795,2004,
2/2/2004,19.85,21.440001,19.08,20.9,411200,10.45,2004,
1/2/2004,18.65,20.25,18.450001,19.24,460900,9.62,2003,Q4
12/1/2003,16.549999,18.540001,16.4,18.4,493800,9.2,2003,
11/20/2003,16.4,16.85,16.15,16.610001,3082400,8.305,2003,
