Season,TeamA,TeamAState,TeamB,TeamBState,HomeScore,VisitorScore,Margin,Distance
8/31/2013,California,California,Northwestern,Illinois,30,44,-14,2084.9
8/31/2013,Arkansas State,Arkansas,Arkansas-Pine Bluff,Arkansas,62,11,51,100
8/31/2013,Air Force,Colorado,Colgate,New York,38,13,25,1842
8/31/2013,Georgia Tech,Georgia,Elon,North Carolina,70,0,70,428.9
8/31/2013,Missouri,Missouri,Murray State,Kentucky,58,14,44,466.4
8/31/2013,Tennessee,Tennessee,Austin Peay,Tennessee,45,0,45,100
8/31/2013,Illinois,Illinois,Southern Illinois,Illinois,42,34,8,100
8/31/2013,Boston College,Massachusetts,Villanova,Pennsylvania,24,14,10,373.7
8/31/2013,West Virginia,West Virginia,William + Mary,Virginia,24,17,7,236.2
8/31/2013,Duke,North Carolina,No Carolina Central,North Carolina,45,0,45,100
8/31/2013,Oregon,Oregon,Nicholls State,Louisiana,66,3,63,2238.6
8/31/2013,Oregon State,Oregon,Eastern Washington,Washington,46,49,-3,359
8/31/2013,Eastern Michigan,Michigan,Howard,Maryland,34,24,10,740.1
8/31/2013,South Florida,Florida,McNeese State,Louisiana,21,53,-32,835.9
8/31/2013,East Carolina,North Carolina,Old Dominion,Virginia,52,38,14,154.9
8/31/2013,Baylor,Texas,Wofford,South Carolina,69,3,66,1206.5
8/31/2013,San Diego State,California,Eastern Illinois,Illinois,19,40,-21,2084.9
8/31/2013,Iowa State,Iowa,Northern Iowa,Iowa,20,28,-8,100
8/30/2013,Michigan State,Michigan,Western Michigan,Michigan,26,13,13,100
8/30/2013,Miami-Florida,Florida,Florida Atlantic,Florida,34,6,28,100
8/30/2013,S-M-U,Texas,Texas Tech,Texas,23,41,-18,100
8/30/2013,Army,New York,Morgan State,Maryland,28,12,16,205.4
8/30/2013,Georgia State,Georgia,Samford,Alabama,21,31,-10,277.8
8/30/2013,Kansas State,Kansas,North Dakota St,North Dakota,21,24,-3,721
8/30/2013,Houston,Texas,Southern Univ,Louisiana,62,13,49,570.2
8/30/2013,Arizona,Arizona,Northern Arizona,Arizona,35,0,35,100
8/29/2013,South Carolina,South Carolina,North Carolina,North Carolina,27,10,17,183
8/29/2013,Minnesota,Minnesota,Nevada-Las Vegas,Nevada,51,23,28,1641.9
8/29/2013,Bowling Green,Kentucky,Tulsa,Oklahoma,34,7,27,882.3
8/29/2013,U-C-F,Florida,Akron,Ohio,38,7,31,1060.2
8/29/2013,Utah,Utah,Utah State,Utah,30,26,4,100
8/29/2013,Vanderbilt,Tennessee,Mississippi,Mississippi,35,39,-4,346.7
8/29/2013,Fresno State,California,Rutgers,New Jersey,52,51,1,2887
8/29/2013,Hawaii,Hawaii,Southern Cal,California,13,30,-17,2467
8/29/2013,San Jose State,California,Sacramento State,California,24,0,24,100
8/29/2013,Kent State,Ohio,Liberty,Virginia,17,10,7,448.5
8/29/2013,Wake Forest,North Carolina,Presbyterian,South Carolina,31,7,24,183
8/29/2013,Ball State,Indiana,Illinois State,Illinois,51,28,23,206.4
8/29/2013,Indiana,Indiana,Indiana State,Indiana,73,35,38,100
8/29/2013,South Alabama,Alabama,Southern Utah,Utah,21,22,-1,1773.8
8/29/2013,Connecticut,Connecticut,Towson,Maryland,18,33,-15,302.5
8/29/2013,Middle Tennessee,Tennessee,Western Carolina,North Carolina,45,24,21,553.8
8/29/2013,Tulane,Louisiana,Jackson State,Mississippi,34,7,27,232.6
12/8/2012,Army,New York,Navy,Maryland,13,17,-4,205.4
12/1/2012,Connecticut,Connecticut,Cincinnati,Ohio,17,34,-17,611.4
12/1/2012,South Florida,Florida,Pittsburgh,Pennsylvania,3,27,-24,1126.5
12/1/2012,Texas Christian,Texas,Oklahoma,Oklahoma,17,24,-7,330.7
12/1/2012,Kansas State,Kansas,Texas,Texas,42,24,18,640.8
12/1/2012,Baylor,Texas,Oklahoma State,Oklahoma,41,34,7,330.7
12/1/2012,Nevada-Reno,Nevada,Boise State,Idaho,21,27,-6,542.3
12/1/2012,West Virginia,West Virginia,Kansas,Kansas,59,10,49,1074
12/1/2012,Texas State,Texas,New Mexico State,New Mexico,66,28,38,449.2
12/1/2012,Arkansas State,Arkansas,Middle Tennessee,Tennessee,45,0,45,356.8
12/1/2012,Florida Atlantic,Florida,UL-Lafayette,Louisiana,21,35,-14,835.9
12/1/2012,Hawaii,Hawaii,South Alabama,Alabama,23,7,16,4275
12/1/2012,Tulsa,Oklahoma,U-C-F,Florida,33,27,6,1263.9
12/1/2012,Georgia,Georgia,Alabama,Alabama,28,32,-4,277.8
12/1/2012,Georgia Tech,Georgia,Florida State,Florida,15,21,-6,365.7
12/1/2012,Wisconsin,Wisconsin,Nebraska,Nebraska,70,31,39,747.1
12/1/2012,Oregon State,Oregon,Nicholls State,Louisiana,77,3,74,2238.6
11/30/2012,Kent State,Ohio,Northern Illinois,Illinois,37,44,-7,412.1
11/30/2012,Stanford,California,U.C.L.A.,California,27,24,3,100
11/29/2012,Rutgers,New Jersey,Louisville,Kentucky,17,20,-3,680.6
11/24/2012,Ohio State,Ohio,Michigan,Michigan,26,21,5,367
11/24/2012,Wake Forest,North Carolina,Vanderbilt,Tennessee,21,55,-34,554.2
11/24/2012,Louisville,Kentucky,Connecticut,Connecticut,20,23,-3,797.8
11/24/2012,Georgia,Georgia,Georgia Tech,Georgia,42,10,32,100
11/24/2012,North Carolina,North Carolina,Maryland,Maryland,45,38,7,314.4
11/24/2012,Virginia Tech,Virginia,Virginia,Virginia,17,14,3,100
11/24/2012,Minnesota,Minnesota,Michigan State,Michigan,10,26,-16,701.3
11/24/2012,Duke,North Carolina,Miami-Florida,Florida,45,52,-7,656.8
11/24/2012,Northwestern,Illinois,Illinois,Illinois,50,14,36,100
11/24/2012,No Carolina State,North Carolina,Boston College,Massachusetts,27,10,17,716.9
11/24/2012,Tennessee,Tennessee,Kentucky,Kentucky,37,17,20,268.5
11/24/2012,Penn State,Pennsylvania,Wisconsin,Wisconsin,24,21,3,777.1
11/24/2012,Pittsburgh,Pennsylvania,Rutgers,New Jersey,27,6,21,233.2
11/24/2012,Purdue,Indiana,Indiana,Indiana,56,35,21,100
11/24/2012,Texas-San Antonio,Texas,Texas State,Texas,38,31,7,100
11/24/2012,Utah State,Utah,Idaho,Idaho,45,9,36,520.2
11/24/2012,Wyoming,Wyoming,San Diego State,California,28,42,-14,1161.4
11/24/2012,Baylor,Texas,Texas Tech,Texas,52,45,7,100
11/24/2012,Alabama,Alabama,Auburn,Alabama,49,0,49,100
11/24/2012,Mississippi,Mississippi,Mississippi State,Mississippi,41,24,17,100
11/24/2012,U.C.L.A.,California,Stanford,California,17,35,-18,100
11/24/2012,New Mexico State,New Mexico,Brigham Young,Utah,14,50,-36,602.1
11/24/2012,Fresno State,California,Air Force,Colorado,48,15,33,1174
11/24/2012,Oklahoma,Oklahoma,Oklahoma State,Oklahoma,51,48,3,100
11/24/2012,Texas A+M,Texas,Missouri,Missouri,59,29,30,724.5
11/24/2012,Oregon State,Oregon,Oregon,Oregon,24,48,-24,100
11/24/2012,S-M-U,Texas,Tulsa,Oklahoma,35,27,8,330.7
11/24/2012,Florida State,Florida,Florida,Florida,26,37,-11,100
11/24/2012,San Jose State,California,Louisiana Tech,Louisiana,52,43,9,1905.5
11/24/2012,Memphis,Tennessee,Southern Miss,Mississippi,42,24,18,346.7
11/24/2012,Houston,Texas,Tulane,Louisiana,40,17,23,570.2
11/24/2012,Colorado State,Colorado,New Mexico,New Mexico,24,20,4,406.7
11/24/2012,UTEP,Texas,Rice,Texas,24,33,-9,100
11/24/2012,Clemson,South Carolina,South Carolina,South Carolina,17,27,-10,100
11/24/2012,U-C-F,Florida,U-A-B,Alabama,49,24,25,547
11/24/2012,Southern Cal,California,Notre Dame,Indiana,13,22,-9,2232.2
11/24/2012,Hawaii,Hawaii,Nevada-Las Vegas,Nevada,48,10,38,2666
11/24/2012,Western Kentucky,Kentucky,North Texas,Texas,25,24,1,1115.9
11/24/2012,Middle Tennessee,Tennessee,Troy,Alabama,24,21,3,258
11/24/2012,UL-Lafayette,Louisiana,South Alabama,Alabama,52,30,22,389.3
11/24/2012,Florida Intl,Florida,UL-Monroe,Louisiana,17,23,-6,835.9
11/23/2012,Iowa,Iowa,Nebraska,Nebraska,7,13,-6,416.4
11/23/2012,Bowling Green,Kentucky,Buffalo,New York,21,7,14,700.1
11/23/2012,Massachusetts,Massachusetts,Central Michigan,Michigan,21,42,-21,865
11/23/2012,Miami-Ohio,Ohio,Ball State,Indiana,24,31,-7,240.7
11/23/2012,Temple,Pennsylvania,Syracuse,New York,20,38,-18,200.2
11/23/2012,Eastern Michigan,Michigan,Northern Illinois,Illinois,7,49,-42,409.6
11/23/2012,Cincinnati,Ohio,South Florida,Florida,27,10,17,1060.2
11/23/2012,East Carolina,North Carolina,Marshall,Tennessee,65,59,6,554.2
11/23/2012,Kent State,Ohio,Ohio,Ohio,28,6,22,100
11/23/2012,Arkansas,Arkansas,Louisiana State,Louisiana,13,20,-7,347.7
11/23/2012,Colorado,Colorado,Utah,Utah,35,42,-7,429
11/23/2012,Iowa State,Iowa,West Virginia,West Virginia,24,31,-7,857.4
11/23/2012,Washington State,Washington,Washington,Washington,31,28,3,100
11/23/2012,Arizona,Arizona,Arizona State,Arizona,34,41,-7,100
11/22/2012,Texas,Texas,Texas Christian,Texas,13,20,-7,100
11/20/2012,Toledo,Ohio,Akron,Ohio,35,23,12,100
11/17/2012,Georgia Tech,Georgia,Duke,North Carolina,42,24,18,428.9
11/17/2012,Army,New York,Temple,Pennsylvania,32,63,-31,200.5
11/17/2012,Bowling Green,Kentucky,Kent State,Ohio,24,31,-7,248.9
11/17/2012,Boston College,Massachusetts,Virginia Tech,Virginia,23,30,-7,619.4
11/17/2012,Nebraska,Nebraska,Minnesota,Minnesota,38,14,24,586.9
11/17/2012,Mississippi State,Mississippi,Arkansas,Arkansas,45,14,31,321.9
11/17/2012,Miami-Florida,Florida,South Florida,Florida,40,9,31,100
11/17/2012,Illinois,Illinois,Purdue,Indiana,17,20,-3,206.4
11/17/2012,Kansas,Kansas,Iowa State,Iowa,23,51,-28,465
11/17/2012,Marshall,Tennessee,Houston,Texas,44,41,3,916.9
11/17/2012,Maryland,Maryland,Florida State,Florida,14,41,-27,949
11/17/2012,Massachusetts,Massachusetts,Buffalo,New York,19,29,-10,203.2
11/17/2012,Michigan State,Michigan,Northwestern,Illinois,20,23,-3,409.6
11/17/2012,Clemson,South Carolina,No Carolina State,North Carolina,62,48,14,183
11/17/2012,Cincinnati,Ohio,Rutgers,New Jersey,3,10,-7,556
11/17/2012,Penn State,Pennsylvania,Indiana,Indiana,45,22,23,558.5
11/17/2012,Vanderbilt,Tennessee,Tennessee,Tennessee,41,18,23,100
11/17/2012,Central Michigan,Michigan,Miami-Ohio,Ohio,30,16,14,367
11/17/2012,U-A-B,Alabama,Memphis,Tennessee,9,46,-37,258
11/17/2012,Western Michigan,Michigan,Eastern Michigan,Michigan,23,29,-6,100
11/17/2012,West Virginia,West Virginia,Oklahoma,Oklahoma,49,50,-1,1118.9
11/17/2012,U.C.L.A.,California,Southern Cal,California,38,28,10,100
11/17/2012,Boise State,Montana,Colorado State,Colorado,42,14,28,779.4
11/17/2012,Navy,Maryland,Texas State,Texas,21,10,11,1583.8
11/17/2012,Baylor,Texas,Kansas State,Kansas,52,24,28,640.8
11/17/2012,New Mexico,New Mexico,Nevada-Reno,Nevada,24,31,-7,912.5
11/17/2012,Notre Dame,Indiana,Wake Forest,North Carolina,38,0,38,639.2
11/17/2012,Oregon,Oregon,Stanford,California,14,17,-3,667
11/17/2012,Oregon State,Oregon,California,California,62,14,48,667
11/17/2012,Rice,Texas,S-M-U,Texas,36,14,22,100
11/17/2012,Tulane,Louisiana,East Carolina,North Carolina,23,28,-5,946.9
11/17/2012,Tulsa,Oklahoma,U-C-F,Florida,23,21,2,1263.9
11/17/2012,Michigan,Michigan,Iowa,Iowa,42,17,25,582.9
11/17/2012,Colorado,Colorado,Washington,Washington,3,38,-35,1306.1
11/17/2012,San Jose State,California,Brigham Young,Utah,20,14,6,793.2
11/17/2012,Nevada-Las Vegas,Nevada,Wyoming,Wyoming,23,28,-5,767.9
11/17/2012,Idaho,Idaho,Texas-San Antonio,Texas,27,34,-7,1435.7
11/17/2012,Utah,Utah,Arizona,Arizona,24,34,-10,571.3
11/17/2012,Missouri,Missouri,Syracuse,New York,27,31,-4,1061.3
11/17/2012,Oklahoma State,Oklahoma,Texas Tech,Texas,59,21,38,341.4
11/17/2012,Louisiana Tech,Louisiana,Utah State,Utah,41,48,-7,1514.3
11/17/2012,Wisconsin,Wisconsin,Ohio State,Ohio,14,21,-7,484.9
11/17/2012,Louisiana State,Louisiana,Mississippi,Mississippi,41,35,6,232.6
11/17/2012,Southern Miss,Mississippi,UTEP,Texas,33,34,-1,673.3
11/17/2012,Arizona State,Arizona,Washington State,Washington,46,7,39,1441.1
11/17/2012,Troy,Alabama,Arkansas State,Arkansas,34,41,-7,431.5
11/17/2012,UL-Monroe,Louisiana,North Texas,Texas,42,16,26,570.2
11/17/2012,South Alabama,Alabama,Middle Tennessee,Tennessee,12,20,-8,258
11/17/2012,UL-Lafayette,Louisiana,Western Kentucky,Kentucky,31,27,4,824.6
11/17/2012,Alabama,Alabama,Western Carolina,North Carolina,49,0,49,584.9
11/17/2012,Georgia,Georgia,Georgia Southern,Georgia,45,14,31,100
11/17/2012,South Carolina,South Carolina,Wofford,South Carolina,24,7,17,100
11/17/2012,Florida,Florida,Jacksonville St,Alabama,23,0,23,547
11/17/2012,Auburn,Alabama,Alabama A+M,Alabama,51,7,44,100
11/17/2012,Kentucky,Kentucky,Samford,Alabama,34,3,31,499.6
11/17/2012,Texas A+M,Texas,Sam Houston State,Texas,47,28,19,100
11/16/2012,Air Force,Colorado,Hawaii,Hawaii,21,7,14,3231
11/16/2012,Florida Atlantic,Florida,Florida Intl,Florida,24,34,-10,100
11/15/2012,Virginia,Virginia,North Carolina,North Carolina,13,37,-24,154.9
11/14/2012,Ball State,Indiana,Ohio,Ohio,52,27,25,240.7
11/14/2012,Northern Illinois,Illinois,Toledo,Ohio,31,24,7,412.1
11/10/2012,Michigan,Michigan,Northwestern,Illinois,38,31,7,409.6
11/10/2012,Clemson,South Carolina,Maryland,Maryland,45,10,35,523.5
11/10/2012,No Carolina State,North Carolina,Wake Forest,North Carolina,37,6,31,100
11/10/2012,Rutgers,New Jersey,Army,New York,28,7,21,100
11/10/2012,Syracuse,New York,Louisville,Kentucky,45,26,19,700.1
11/10/2012,Virginia,Virginia,Miami-Florida,Florida,41,40,1,807.8
11/10/2012,Illinois,Illinois,Minnesota,Minnesota,3,17,-14,614.7
11/10/2012,Indiana,Indiana,Wisconsin,Wisconsin,14,62,-48,342.8
11/10/2012,Iowa,Iowa,Purdue,Indiana,24,27,-3,463.9
11/10/2012,Mississippi,Mississippi,Vanderbilt,Tennessee,26,27,-1,346.7
11/10/2012,North Carolina,North Carolina,Georgia Tech,Georgia,50,68,-18,428.9
11/10/2012,Eastern Michigan,Michigan,Central Michigan,Michigan,31,34,-3,100
11/10/2012,Miami-Ohio,Ohio,Kent State,Ohio,32,48,-16,100
11/10/2012,Brigham Young,Utah,Idaho,Idaho,52,13,39,520.2
11/10/2012,Akron,Ohio,Massachusetts,Massachusetts,14,22,-8,738.3
11/10/2012,Buffalo,New York,Western Michigan,Michigan,29,24,5,816.4
11/10/2012,Alabama,Alabama,Texas A+M,Texas,24,29,-5,829.8
11/10/2012,Auburn,Alabama,Georgia,Georgia,0,38,-38,277.8
11/10/2012,Nebraska,Nebraska,Penn State,Pennsylvania,32,23,9,1304.6
11/10/2012,Boston College,Massachusetts,Notre Dame,Indiana,6,21,-15,952.2
11/10/2012,Southern Cal,California,Arizona State,Arizona,38,17,21,398
11/10/2012,Washington,Washington,Utah,Utah,34,15,19,980.4
11/10/2012,New Mexico,New Mexico,Wyoming,Wyoming,23,28,-5,796.2
11/10/2012,New Mexico State,New Mexico,San Jose State,California,7,47,-40,992.4
11/10/2012,California,California,Oregon,Oregon,17,59,-42,667
11/10/2012,Oklahoma State,Oklahoma,West Virginia,West Virginia,55,34,21,1118.9
11/10/2012,Texas Christian,Texas,Kansas State,Kansas,10,23,-13,640.8
11/10/2012,Temple,Pennsylvania,Cincinnati,Ohio,10,34,-24,351.3
11/10/2012,Tennessee,Tennessee,Missouri,Missouri,48,51,-3,479.2
11/10/2012,Texas,Texas,Iowa State,Iowa,33,7,26,915.8
11/10/2012,San Diego State,California,Air Force,Colorado,28,9,19,1174
11/10/2012,S-M-U,Texas,Southern Miss,Mississippi,34,6,28,673.3
11/10/2012,U-A-B,Alabama,Marshall,Tennessee,38,31,7,258
11/10/2012,Houston,Texas,Tulsa,Oklahoma,7,41,-34,330.7
11/10/2012,Colorado State,Colorado,Nevada-Las Vegas,Nevada,33,11,22,802.7
11/10/2012,Hawaii,Hawaii,Boise State,Idaho,14,49,-35,2872
11/10/2012,Washington State,Washington,U.C.L.A.,California,36,44,-8,954.6
11/10/2012,UTEP,Texas,U-C-F,Florida,24,31,-7,1366
11/10/2012,Arizona,Arizona,Colorado,Colorado,56,31,25,836
11/10/2012,South Carolina,South Carolina,Arkansas,Arkansas,38,20,18,699.1
11/10/2012,Texas Tech,Texas,Kansas,Kansas,41,34,7,640.8
11/10/2012,Texas State,Texas,Louisiana Tech,Louisiana,55,62,-7,570.2
11/10/2012,Oklahoma,Oklahoma,Baylor,Texas,42,34,8,341.4
11/10/2012,Memphis,Tennessee,Tulane,Louisiana,37,23,14,577.7
11/10/2012,Stanford,California,Oregon State,Oregon,27,23,4,667
11/10/2012,Louisiana State,Louisiana,Mississippi State,Mississippi,37,17,20,232.6
11/10/2012,Nevada-Reno,Nevada,Fresno State,California,36,52,-16,556.6
11/10/2012,Western Kentucky,Kentucky,Florida Atlantic,Florida,28,37,-9,861.1
11/10/2012,Troy,Alabama,Navy,Maryland,41,31,10,868.3
11/10/2012,North Texas,Texas,South Alabama,Alabama,24,14,10,829.8
11/10/2012,Florida,Florida,UL-Lafayette,Louisiana,27,20,7,835.9
11/10/2012,Texas-San Antonio,Texas,McNeese State,Louisiana,31,24,7,570.2
11/9/2012,Connecticut,Connecticut,Pittsburgh,Pennsylvania,24,17,7,260
11/8/2012,Virginia Tech,Virginia,Florida State,Florida,22,28,-6,807.8
11/8/2012,Arkansas State,Arkansas,UL-Monroe,Louisiana,45,23,22,347.7
11/7/2012,Ohio,Ohio,Bowling Green,Kentucky,14,26,-12,248.9
11/6/2012,Toledo,Ohio,Ball State,Indiana,27,34,-7,240.7
11/3/2012,Purdue,Indiana,Penn State,Pennsylvania,9,34,-25,558.5
11/3/2012,Army,New York,Air Force,Colorado,41,21,20,1842
11/3/2012,Kent State,Ohio,Akron,Ohio,35,24,11,100
11/3/2012,Kentucky,Kentucky,Vanderbilt,Tennessee,0,40,-40,268.5
11/3/2012,Northern Illinois,Illinois,Massachusetts,Massachusetts,63,0,63,1098.8
11/3/2012,Louisville,Kentucky,Temple,Pennsylvania,45,17,28,554.1
11/3/2012,Wake Forest,North Carolina,Boston College,Massachusetts,28,14,14,716.9
11/3/2012,East Carolina,North Carolina,Houston,Texas,48,28,20,1388.1
11/3/2012,Indiana,Indiana,Iowa,Iowa,24,21,3,259.9
11/3/2012,Maryland,Maryland,Georgia Tech,Georgia,13,33,-20,721.2
11/3/2012,Duke,North Carolina,Clemson,South Carolina,20,56,-36,183
11/3/2012,Arkansas,Arkansas,Tulsa,Oklahoma,19,15,4,321
11/3/2012,Auburn,Alabama,New Mexico State,New Mexico,42,7,35,1228.5
11/3/2012,Colorado,Colorado,Stanford,California,0,48,-48,1174
11/3/2012,Utah State,Utah,Texas State,Texas,38,7,31,1018.4
11/3/2012,Louisiana State,Louisiana,Alabama,Alabama,17,21,-4,389.3
11/3/2012,Wyoming,Wyoming,Colorado State,Colorado,45,31,14,394.5
11/3/2012,No Carolina State,North Carolina,Virginia,Virginia,6,33,-27,154.9
11/3/2012,Oregon State,Oregon,Arizona State,Arizona,36,26,10,1218.1
11/3/2012,Florida,Florida,Missouri,Missouri,14,7,7,1160.8
11/3/2012,Michigan State,Michigan,Nebraska,Nebraska,24,28,-4,975.2
11/3/2012,West Virginia,West Virginia,Texas Christian,Texas,38,39,-1,1360.7
11/3/2012,Ohio State,Ohio,Illinois,Illinois,52,22,30,412.1
11/3/2012,Notre Dame,Indiana,Pittsburgh,Pennsylvania,29,26,3,558.5
11/3/2012,Louisiana Tech,Louisiana,Texas-San Antonio,Texas,51,27,24,570.2
11/3/2012,Idaho,Idaho,San Jose State,California,13,42,-29,908.3
11/3/2012,U-C-F,Florida,S-M-U,Texas,42,17,25,1366
11/3/2012,South Florida,Florida,Connecticut,Connecticut,13,6,7,1247.3
11/3/2012,Central Michigan,Michigan,Western Michigan,Michigan,31,42,-11,100
11/3/2012,Buffalo,New York,Miami-Ohio,Ohio,27,24,3,535.3
11/3/2012,Georgia,Georgia,Mississippi,Mississippi,37,10,27,486.5
11/3/2012,Cincinnati,Ohio,Syracuse,New York,35,24,11,535.3
11/3/2012,Utah,Utah,Washington State,Washington,49,6,43,980.4
11/3/2012,Southern Miss,Mississippi,U-A-B,Alabama,19,27,-8,157.9
11/3/2012,Marshall,Tennessee,Memphis,Tennessee,38,28,10,100
11/3/2012,Minnesota,Minnesota,Michigan,Michigan,13,35,-22,701.3
11/3/2012,Kansas State,Kansas,Oklahoma State,Oklahoma,44,30,14,357
11/3/2012,Texas Tech,Texas,Texas,Texas,22,31,-9,100
11/3/2012,Mississippi State,Mississippi,Texas A+M,Texas,13,38,-25,673.3
11/3/2012,Baylor,Texas,Kansas,Kansas,41,14,27,640.8
11/3/2012,Iowa State,Iowa,Oklahoma,Oklahoma,20,35,-15,632.1
11/3/2012,Southern Cal,California,Oregon,Oregon,51,62,-11,667
11/3/2012,Tulane,Louisiana,Rice,Texas,47,49,-2,570.2
11/3/2012,Fresno State,California,Hawaii,Hawaii,45,10,35,2467
11/3/2012,U.C.L.A.,California,Arizona,Arizona,66,10,56,398
11/3/2012,Nevada-Las Vegas,Nevada,New Mexico,New Mexico,35,7,28,912.7
11/3/2012,Boise State,Montana,San Diego State,California,19,21,-2,1257.6
11/3/2012,Navy,Maryland,Florida Atlantic,Florida,24,17,7,949
11/3/2012,South Alabama,Alabama,Florida Intl,Florida,20,28,-8,547
11/3/2012,Tennessee,Tennessee,Troy,Alabama,55,48,7,258
11/3/2012,North Texas,Texas,Arkansas State,Arkansas,19,37,-18,584.1
11/3/2012,UL-Monroe,Louisiana,UL-Lafayette,Louisiana,24,40,-16,100
11/2/2012,California,California,Washington,Washington,13,21,-8,954.6
11/1/2012,Ohio,Ohio,Eastern Michigan,Michigan,45,14,31,367
11/1/2012,Miami-Florida,Florida,Virginia Tech,Virginia,30,12,18,807.8
11/1/2012,Western Kentucky,Kentucky,Middle Tennessee,Tennessee,29,34,-5,268.5
10/27/2012,East Carolina,North Carolina,Navy,Maryland,28,56,-28,314.4
10/27/2012,Vanderbilt,Tennessee,Massachusetts,Massachusetts,49,7,42,1126.5
10/27/2012,Miami-Ohio,Ohio,Ohio,Ohio,23,20,3,100
10/27/2012,Army,New York,Ball State,Indiana,22,30,-8,737.7
10/27/2012,Central Michigan,Michigan,Akron,Ohio,35,14,21,367
10/27/2012,Bowling Green,Kentucky,Eastern Michigan,Michigan,24,3,21,555.2
10/27/2012,Western Michigan,Michigan,Northern Illinois,Illinois,34,48,-14,409.6
10/27/2012,Pittsburgh,Pennsylvania,Temple,Pennsylvania,47,17,30,100
10/27/2012,Illinois,Illinois,Indiana,Indiana,17,31,-14,206.4
10/27/2012,Minnesota,Minnesota,Purdue,Indiana,44,28,16,733.4
10/27/2012,Northwestern,Illinois,Iowa,Iowa,28,17,11,259.9
10/27/2012,Florida State,Florida,Duke,North Carolina,48,7,41,656.8
10/27/2012,Boston College,Massachusetts,Maryland,Maryland,20,17,3,405.8
10/27/2012,Alabama,Alabama,Mississippi State,Mississippi,38,7,31,157.9
10/27/2012,Texas-San Antonio,Texas,Utah State,Utah,17,48,-31,1018
10/27/2012,Colorado State,Colorado,Hawaii,Hawaii,42,27,15,3231
10/27/2012,Iowa State,Iowa,Baylor,Texas,35,21,14,915.8
10/27/2012,Auburn,Alabama,Texas A+M,Texas,21,63,-42,829.8
10/27/2012,Utah,Utah,California,California,49,27,22,793.2
10/27/2012,Kansas,Kansas,Texas,Texas,17,21,-4,640.8
10/27/2012,Wisconsin,Wisconsin,Michigan State,Michigan,13,16,-3,433.6
10/27/2012,Oregon,Oregon,Colorado,Colorado,70,14,56,1109.7
10/27/2012,North Carolina,North Carolina,No Carolina State,North Carolina,43,35,8,100
10/27/2012,Wyoming,Wyoming,Boise State,Idaho,14,45,-31,516.7
10/27/2012,Houston,Texas,UTEP,Texas,45,35,10,100
10/27/2012,Georgia Tech,Georgia,Brigham Young,Utah,17,41,-24,2007.9
10/27/2012,Georgia,Georgia,Florida,Florida,17,9,8,365.7
10/27/2012,Missouri,Missouri,Kentucky,Kentucky,33,10,23,466.4
10/27/2012,Arizona State,Arizona,U.C.L.A.,California,43,45,-2,398
10/27/2012,Arizona,Arizona,Southern Cal,California,39,36,3,398
10/27/2012,Rutgers,New Jersey,Kent State,Ohio,23,35,-12,556
10/27/2012,San Jose State,California,Texas State,Texas,31,20,11,1407.8
10/27/2012,Stanford,California,Washington State,Washington,24,17,7,954.6
10/27/2012,Penn State,Pennsylvania,Ohio State,Ohio,23,35,-12,351.3
10/27/2012,Washington,Washington,Oregon State,Oregon,20,17,3,359
10/27/2012,Kansas State,Kansas,Texas Tech,Texas,55,24,31,640.8
10/27/2012,South Florida,Florida,Syracuse,New York,36,37,-1,1148.9
10/27/2012,Oklahoma State,Oklahoma,Texas Christian,Texas,36,14,22,341.4
10/27/2012,Marshall,Tennessee,U-C-F,Florida,17,54,-37,718.2
10/27/2012,Buffalo,New York,Toledo,Ohio,20,25,-5,535.3
10/27/2012,South Carolina,South Carolina,Tennessee,Tennessee,38,35,3,425.5
10/27/2012,Arkansas,Arkansas,Mississippi,Mississippi,27,30,-3,321.9
10/27/2012,New Mexico State,New Mexico,Louisiana Tech,Louisiana,14,28,-14,967.5
10/27/2012,Oklahoma,Oklahoma,Notre Dame,Indiana,13,30,-17,804.8
10/27/2012,Tulane,Louisiana,U-A-B,Alabama,55,45,10,389.3
10/27/2012,S-M-U,Texas,Memphis,Tennessee,44,13,31,916.9
10/27/2012,Rice,Texas,Southern Miss,Mississippi,44,17,27,673.3
10/27/2012,Nebraska,Nebraska,Michigan,Michigan,23,9,14,976.7
10/27/2012,San Diego State,California,Nevada-Las Vegas,Nevada,24,13,11,556.6
10/27/2012,New Mexico,New Mexico,Fresno State,California,32,49,-17,992.4
10/27/2012,UL-Monroe,Louisiana,South Alabama,Alabama,38,24,14,389.3
10/27/2012,Florida Intl,Florida,Western Kentucky,Kentucky,6,14,-8,861.1
10/27/2012,Middle Tennessee,Tennessee,North Texas,Texas,38,21,17,916.9
10/27/2012,Florida Atlantic,Florida,Troy,Alabama,34,27,7,547
10/26/2012,Louisville,Kentucky,Cincinnati,Ohio,34,31,3,248.9
10/26/2012,Air Force,Colorado,Nevada-Reno,Nevada,48,31,17,802.7
10/25/2012,Wake Forest,North Carolina,Clemson,South Carolina,13,42,-29,183
10/23/2012,UL-Lafayette,Louisiana,Arkansas State,Arkansas,27,50,-23,347.7
10/20/2012,Northwestern,Illinois,Nebraska,Nebraska,28,29,-1,653.2
10/20/2012,Wisconsin,Wisconsin,Minnesota,Minnesota,38,13,25,425.5
10/20/2012,Eastern Michigan,Michigan,Army,New York,48,38,10,816.4
